Rank,Released Worldwide,Title,Worldwide Box Office,Domestic box officce,International Box Office
"9,416",2018,Destroyer,"$5,865,489","$1,533,324","$4,332,165"
"9,417",2015,Zhai Nu Gui Xiang,"$5,860,000",,"$5,860,000"
"9,418",2019,Dulce Familia,"$5,859,826",,"$5,859,826"
"9,419",2017,Olanlar Oldu,"$5,859,771",,"$5,859,771"
"9,420",2008,Vsyo Mogut Koroli,"$5,858,956",,"$5,858,956"
"9,421",2023,Santocielo,"$5,858,771",,"$5,858,771"
"9,422",1996,Last Dance,"$5,857,534","$5,857,534",
"9,423",2020,Jipuragirado Jabgo Sipeun Jimseungdeul,"$5,856,796",,"$5,856,796"
"9,424",1988,The Rescue,"$5,855,392","$5,855,392",
"9,425",2019,Mardaani 2,"$5,854,240",,"$5,854,240"
"9,426",2002,El crimen de padre Amaro,"$5,849,791","$5,719,000","$130,791"
"9,427",1986,The Transformers: The Movie,"$5,849,647","$5,849,647",
"9,428",2016,C'est quoi cette famille ?!,"$5,847,198",,"$5,847,198"
"9,429",1998,Palmetto,"$5,846,660","$5,846,660",
"9,430",1986,The Hitcher,"$5,844,868","$5,844,868",
"9,431",1989,Immediate Family,"$5,841,286","$5,841,286",
"9,432",1993,Heaven & Earth,"$5,840,300","$5,840,300",
"9,433",2017,24 Hours to Live,"$5,840,146",,"$5,840,146"
"9,434",1983,Local Hero,"$5,840,040","$5,767,363","$72,677"
"9,435",2017,An Inconvenient Sequel,"$5,839,322","$3,496,795","$2,342,527"
"9,436",1986,Crossroads,"$5,839,031","$5,839,031",
"9,437",2017,Kazoku wa Tsuraiyo 2,"$5,837,844",,"$5,837,844"
"9,438",2016,Swiss Army Man,"$5,837,111","$4,210,454","$1,626,657"
"9,439",2023,Povelitel vetra (Повелитель ветра)…,"$5,836,497",,"$5,836,497"
"9,440",2023,Marlowe,"$5,836,441","$4,350,243","$1,486,198"
"9,441",1990,Night of the Living Dead,"$5,835,247","$5,835,247",
"9,442",2017,Kirakira Pretty Cure A La Mode the Movie,"$5,832,342",,"$5,832,342"
"9,443",1982,The Last American Virgin,"$5,829,781","$5,829,781",
"9,444",1994,Ed Wood,"$5,828,734","$5,828,466",$268
"9,445",2016,SMS für Dich,"$5,828,223",,"$5,828,223"
"9,446",2010,Coco Chanel and Igor Stravinsky,"$5,825,982","$1,725,982","$4,100,000"
"9,447",1999,Detroit Rock City,"$5,825,314","$4,217,115","$1,608,199"
"9,448",2017,"Pororo, Dinosaur Island Adventure","$5,824,076",,"$5,824,076"
"9,449",2015,Last Cab to Darwin,"$5,821,137","$34,193","$5,786,944"
"9,450",1990,Stanley & Iris,"$5,820,015","$5,820,015",
"9,451",2012,Intruders,"$5,818,427","$48,366","$5,770,061"
"9,452",2015,Il professor Cenerentolo,"$5,818,350",,"$5,818,350"
"9,453",2018,Hello Carbot the Movie: The Cretaceou…,"$5,817,041",,"$5,817,041"
"9,454",2023,Nefarious,"$5,815,237","$5,433,686","$381,551"
"9,455",2007,The Perfect Holiday,"$5,812,781","$5,812,781",
"9,456",2012,Jab Tak Hai Jaan,"$5,806,666","$3,047,539","$2,759,127"
"9,457",2012,The Pact,"$5,804,574",,"$5,804,574"
"9,458",2017,Isshuukan furenzu,"$5,804,519",,"$5,804,519"
"9,459",2013,Jolly LLB,"$5,801,422",,"$5,801,422"
"9,460",2022,Drishyam 2,"$5,801,064","$3,004,180","$2,796,884"
"9,461",1959,Rio Bravo,"$5,800,064","$5,800,000",$64
"9,462",2018,Sunny: Tsuyoi Kimochi Tsuyoi Ai,"$5,799,863",,"$5,799,863"
"9,463",2008,Stritreysery,"$5,799,137",,"$5,799,137"
"9,464",2014,The Skeleton Twins,"$5,797,192","$5,284,309","$512,883"
"9,465",2007,Feast of Love,"$5,796,467","$3,508,572","$2,287,895"
"9,466",1986,Mona Lisa,"$5,794,000","$5,794,000",
"9,467",2023,Mavka. Lisova pisnya (Мавка. Лісова п…,"$5,791,292",,"$5,791,292"
"9,468",2018,Leseulleo,"$5,782,988",,"$5,782,988"
"9,469",2006,Catch a Fire,"$5,782,198","$4,299,773","$1,482,425"
"9,470",1984,Sheena,"$5,778,353","$5,778,353",
"9,471",2004,Callas Forever,"$5,773,130","$445,996","$5,327,134"
"9,472",1997,Kolya,"$5,770,254","$5,770,254",
"9,473",2018,"Juliet, Naked","$5,767,158","$3,444,895","$2,322,263"
"9,474",1975,Monty Python and the Holy Grail,"$5,763,644","$4,162,392","$1,601,252"
"9,475",1995,The Tie That Binds,"$5,762,795","$5,762,795",
"9,476",2007,Heartbreak Hotel,"$5,758,778",,"$5,758,778"
"9,477",2015,En duva satt på en gren och funderade…,"$5,758,767","$222,989","$5,535,778"
"9,478",2017,Ani ni aisaresugite komattemasu,"$5,758,464",,"$5,758,464"
"9,479",2019,Dragon Force-Rise of Ultraman,"$5,755,641",,"$5,755,641"
"9,480",1998,Phantoms,"$5,755,333","$5,755,333",
"9,481",2008,Freche Mädchen,"$5,752,203",,"$5,752,203"
"9,482",1994,The Last Seduction,"$5,751,320","$5,751,320",
"9,483",2010,Ishqiya,"$5,749,388","$91,468","$5,657,920"
"9,484",2018,Wo Shi Ni Ma,"$5,748,970",,"$5,748,970"
"9,485",1997,One Eight Seven,"$5,747,802","$5,747,802",
"9,486",1998,Happiness,"$5,746,453","$2,746,453","$3,000,000"
"9,487",2012,Won't Back Down,"$5,745,503","$5,310,554","$434,949"
"9,488",2020,Streltsov,"$5,744,920",,"$5,744,920"
"9,489",2011,Patiala House,"$5,740,505","$644,010","$5,096,495"
"9,490",2012,Comme un chef,"$5,738,990","$342,667","$5,396,323"
"9,491",1992,Orlando,"$5,737,882","$5,737,353",$529
"9,492",2018,Yucatán,"$5,732,662",,"$5,732,662"
"9,493",1981,Gallipoli,"$5,732,587","$5,732,587",
"9,494",2022,Odna (Одна),"$5,730,088",,"$5,730,088"
"9,495",2018,Moschettieri del Re - La penultima mi…,"$5,728,962",,"$5,728,962"
"9,496",1991,Barton Fink,"$5,726,463","$5,726,463",
"9,497",2015,A zori zdes tikhie...,"$5,726,339",,"$5,726,339"
"9,498",1989,Millennium,"$5,725,353","$5,725,353",
"9,499",2012,Elefante blanco,"$5,724,790","$8,863","$5,715,927"
"9,500",2016,My Best Friend’s Wedding,"$5,724,682","$77,043","$5,647,639"
"9,501",1986,Wisdom,"$5,715,174","$5,715,174",
"9,502",1987,Surrender,"$5,711,976","$5,711,976",
"9,503",2017,Kimi to 100 Kaime no Koi,"$5,710,123",,"$5,710,123"
"9,504",2011,Trolljegeren,"$5,706,638","$253,444","$5,453,194"
"9,505",2016,Anomalisa,"$5,706,168","$3,759,286","$1,946,882"
"9,506",2015,A Bigger Splash,"$5,703,280","$2,024,099","$3,679,181"
"9,507",2023,Big George Foreman: The Miraculous St…,"$5,703,197","$5,426,772","$276,425"
"9,508",2016,My New Sassy Girl,"$5,701,519",,"$5,701,519"
"9,509",1996,Screamers,"$5,701,359","$5,701,359",
"9,510",1948,"Sorry, Wrong Number","$5,700,000","$5,700,000",
"9,511",2017,Kaabil,"$5,697,910",,"$5,697,910"
"9,512",1990,Leatherface: Texas Chainsaw Massacre III,"$5,697,588","$5,697,588",
"9,513",2015,Nounai poizun berî,"$5,697,583",,"$5,697,583"
"9,514",2017,Carbone,"$5,696,993",,"$5,696,993"
"9,515",1983,Under Fire,"$5,696,391","$5,696,391",
"9,516",2007,Who's Your Caddy?,"$5,694,308","$5,694,308",
"9,517",2003,People I Know,"$5,694,213","$121,972","$5,572,241"
"9,518",2001,Iris,"$5,692,941","$5,580,479","$112,462"
"9,519",1996,Get on the Bus,"$5,691,854","$5,691,854",
"9,520",1995,Before Sunrise,"$5,691,852","$5,274,005","$417,847"
"9,521",1995,Gold Diggers: The Secret of Bear Moun…,"$5,691,405","$5,691,405",
"9,522",1997,Kundun,"$5,686,694","$5,686,694",
"9,523",2015,Dark Places,"$5,685,597","$208,588","$5,477,009"
"9,524",2009,Blood: The Last Vampire,"$5,683,954","$256,682","$5,427,272"
"9,525",2019,Chamboultout,"$5,682,722",,"$5,682,722"
"9,526",1996,Cold Comfort Farm,"$5,682,429","$5,682,429",
"9,527",2020,Horse Julius and Big Horse Racing,"$5,682,391",,"$5,682,391"
"9,528",2019,The Sun is Also a Star,"$5,680,910","$4,950,029","$730,881"
"9,529",1988,Eight Men Out,"$5,680,515","$5,680,515",
"9,530",2022,I Heard the Bells,"$5,679,324","$5,644,104","$35,220"
"9,531",2021,Brave: Gunjyo Senki (ブレイブ　群青戦記)…,"$5,677,186",,"$5,677,186"
"9,532",1982,Megaforce,"$5,675,599","$5,675,599",
"9,533",1998,Down in the Delta,"$5,672,903","$5,672,903",
"9,534",2023,Golda,"$5,672,359","$4,801,781","$870,578"
"9,535",1987,Nadine,"$5,669,831","$5,669,831",
"9,536",2016,Scoop!,"$5,669,344",,"$5,669,344"
"9,537",2023,"Na solntse, vdol ryadov kukuruzy (На …","$5,668,317",,"$5,668,317"
"9,538",2015,Heneral Luna,"$5,665,641","$206,040","$5,459,601"
"9,539",1982,The Concrete Jungle,"$5,664,557","$5,664,557",
"9,540",2017,Daeripgun,"$5,664,511","$84,532","$5,579,979"
"9,541",2015,Kainan 1890,"$5,663,664",,"$5,663,664"
"9,542",2000,Where the Money Is,"$5,658,940","$5,658,940",
"9,543",2018,Uso wo aisuru onna,"$5,657,262",,"$5,657,262"
"9,544",1995,Beyond Rangoon,"$5,656,641","$5,656,641",
"9,545",1996,The Pallbearer,"$5,656,388","$5,656,388",
"9,546",1983,Something Wicked This Way Comes,"$5,656,087","$5,656,087",
"9,547",2005,Underclassman,"$5,654,777","$5,654,777",
