Rank,Released Worldwide,Title,Worldwide Box Office,Domestic box officce,International Box Office
"13,297",2022,The Contractor,"$1,814,141","$1,035,265","$778,876"
"13,298",2016,Koblic,"$1,813,611",,"$1,813,611"
"13,299",2022,"My Sailor, My Love","$1,812,833","$89,237","$1,723,596"
"13,300",2007,Ddeu-geo-woon-geot-e-jo-a,"$1,811,549",,"$1,811,549"
"13,301",2017,Sojunghan Yeoin,"$1,811,452",,"$1,811,452"
"13,302",1989,Breaking In,"$1,811,086","$1,811,086",
"13,303",2014,El club de los incomprendidos,"$1,810,942",,"$1,810,942"
"13,304",2015,Homies,"$1,810,644",,"$1,810,644"
"13,305",2016,Forever Young (2016),"$1,810,400",,"$1,810,400"
"13,306",2000,The Color of Paradise,"$1,810,145","$1,810,145",
"13,307",2019,Tel Aviv on Fire,"$1,809,679","$504,443","$1,305,236"
"13,308",2001,N'sync: Bigger than Live,"$1,808,679","$1,808,679",
"13,309",2019,Der kleine Rabe Socke - Suche nach de…,"$1,808,022",,"$1,808,022"
"13,310",2002,Eye See You,"$1,807,990","$79,161","$1,728,829"
"13,311",2024,Valle de Sombras,"$1,807,298",,"$1,807,298"
"13,312",2019,The Other Side of Heaven 2: Fire of F…,"$1,807,116","$1,807,116",
"13,313",2015,Omoide no Mani,"$1,806,747","$565,042","$1,241,705"
"13,314",2017,"Xong Di, Bie Nao!","$1,806,679",,"$1,806,679"
"13,315",2017,Mark Felt: The Man Who Brought Down t…,"$1,806,266","$768,646","$1,037,620"
"13,316",2023,Rewind,"$1,805,825",,"$1,805,825"
"13,317",2017,Bella Donna's,"$1,802,901",,"$1,802,901"
"13,318",2023,Somewhere in Queens,"$1,802,442","$1,802,442",
"13,319",2009,O'Horten,"$1,802,232","$302,232","$1,500,000"
"13,320",2015,Remember,"$1,802,211","$547,009","$1,255,202"
"13,321",2022,2022 Oscar Shorts,"$1,801,646","$1,801,646",
"13,322",2012,Jackie,"$1,801,170",,"$1,801,170"
"13,323",2018,Kaybedenler Kulübü Yolda,"$1,800,990",,"$1,800,990"
"13,324",1937,Damaged Lives,"$1,800,000","$1,800,000",
"13,325",1962,Kid Galahad,"$1,800,000","$1,800,000",
"13,326",2018,The Taste of Apple,"$1,799,319",,"$1,799,319"
"13,327",2022,Mirciulica,"$1,799,291",,"$1,799,291"
"13,328",1998,Hurlyburly,"$1,798,862","$1,798,862",
"13,329",1994,Naked,"$1,797,162","$1,769,000","$28,162"
"13,330",1992,Delicatessen,"$1,796,324","$1,796,324",
"13,331",2000,La Vie Après L'Amour,"$1,795,758","$1,795,758",
"13,332",2016,Geuk-jang-pan An-nyeong Ja-du-ya,"$1,795,749",,"$1,795,749"
"13,333",2022,Mal de ojo,"$1,794,205",,"$1,794,205"
"13,334",1990,Tune in Tomorrow,"$1,794,000","$1,794,000",
"13,335",2014,Cold in July,"$1,792,577","$423,223","$1,369,354"
"13,336",2015,Içimdeki Ses,"$1,792,433",,"$1,792,433"
"13,337",2019,Haunt,"$1,791,574",,"$1,791,574"
"13,338",1988,Stormy Monday,"$1,791,328","$1,791,328",
"13,339",2001,The Man Who Cried,"$1,790,840","$747,092","$1,043,748"
"13,340",2016,Assolo,"$1,790,566",,"$1,790,566"
"13,341",2022,The Offering,"$1,789,473",,"$1,789,473"
"13,342",2004,Code 46,"$1,788,324","$197,148","$1,591,176"
"13,343",1999,Tumbleweeds,"$1,788,168","$1,350,248","$437,920"
"13,344",2019,L'agenzia dei bugiardi,"$1,788,083",,"$1,788,083"
"13,345",2017,Mientras el Lobo no Está,"$1,787,422",,"$1,787,422"
"13,346",2005,Oyster Farmer,"$1,786,846","$14,470","$1,772,376"
"13,347",2019,Bing Feng Bao,"$1,786,718",,"$1,786,718"
"13,348",2017,The Ritual,"$1,786,396",,"$1,786,396"
"13,349",2023,Khokkeynyye papy (Хоккейные папы)…,"$1,786,197",,"$1,786,197"
"13,350",2017,Liu Nian Liu Tian,"$1,785,824",,"$1,785,824"
"13,351",2007,Venus and Mars,"$1,785,737",,"$1,785,737"
"13,352",2015,Io e lei,"$1,784,926",,"$1,784,926"
"13,353",2024,Adam and Eve (Адам и Ева),"$1,784,890",,"$1,784,890"
"13,354",2009,Jai Veeru,"$1,784,639",,"$1,784,639"
"13,355",2017,Caccia al Tesoro,"$1,784,444",,"$1,784,444"
"13,356",2019,A Vida Invisível,"$1,784,136","$146,535","$1,637,601"
"13,357",2022,Kalendar ma(y)ya (Календарь ма(й)я)…,"$1,782,382",,"$1,782,382"
"13,358",2017,Human Flow,"$1,782,002","$527,845","$1,254,157"
"13,359",1995,The Mangler,"$1,781,000","$1,781,000",
"13,360",2021,Ye Ma Fen Zong (野马分鬃),"$1,780,000",,"$1,780,000"
"13,361",2011,Chalet Girl,"$1,779,617","$1,710","$1,777,907"
"13,362",2006,The Notorious Bettie Page,"$1,779,570","$1,415,082","$364,488"
"13,363",2002,The Dangerous Lives of Altar Boys,"$1,779,284","$1,779,284",
"13,364",2019,Lev Yashin. Vratar moey mechty,"$1,778,723",,"$1,778,723"
"13,365",2012,Shadow Dancer,"$1,777,709","$100,616","$1,677,093"
"13,366",1986,37º2 le matin,"$1,777,470","$179,391","$1,598,079"
"13,367",2007,The Worst Man of My Life,"$1,776,916",,"$1,776,916"
"13,368",2012,The Wedding Video,"$1,776,543",,"$1,776,543"
"13,369",2019,Les municipaux - Trop c'est trop,"$1,776,200",,"$1,776,200"
"13,370",1997,Washington Square,"$1,775,644","$1,775,644",
"13,371",1998,A Soldier's Daughter Never Cries,"$1,775,523","$1,775,523",
"13,372",2011,Mo-bi-dik,"$1,775,209",,"$1,775,209"
"13,373",2018,Met Opera: La Boheme,"$1,774,848",,"$1,774,848"
"13,374",2020,Paw Patrol: Jet to the Rescue,"$1,774,221",,"$1,774,221"
"13,375",1996,I Shot Andy Warhol,"$1,773,648","$1,773,648",
"13,376",2005,Murderball,"$1,772,979","$1,531,154","$241,825"
"13,377",2024,El Correo,"$1,772,499",,"$1,772,499"
"13,378",2016,The Whole Truth,"$1,772,492",,"$1,772,492"
"13,379",2019,Chiara Ferragni - Unposted,"$1,770,900",,"$1,770,900"
"13,380",2009,Big Stan,"$1,770,677",,"$1,770,677"
"13,381",2018,"El Potro, lo mejor del amor","$1,769,897",,"$1,769,897"
"13,382",2019,Öldür Beni Sevgilim,"$1,769,245",,"$1,769,245"
"13,383",2003,Buffalo Soldiers,"$1,768,976","$353,743","$1,415,233"
"13,384",2021,Bangbeob: Jaechaui,"$1,768,718",,"$1,768,718"
"13,385",2018,Ölümlü Dünya,"$1,768,594",,"$1,768,594"
"13,386",2016,I Saw the Light,"$1,767,963","$1,646,788","$121,175"
"13,387",2016,Elvis & Nixon,"$1,766,703","$1,055,284","$711,419"
"13,388",2018,Cheazeu in deo Teuraeb,"$1,766,346",,"$1,766,346"
"13,389",2019,Escape Plan: The Extractors,"$1,766,092",,"$1,766,092"
"13,390",2012,Department,"$1,765,771",,"$1,765,771"
"13,391",1999,The Silence,"$1,765,607","$1,765,607",
"13,392",2004,Main Hoon Na,"$1,765,346","$1,722,453","$42,893"
"13,393",2003,Hope Springs,"$1,764,927",,"$1,764,927"
"13,394",2015,La Novia,"$1,764,589",,"$1,764,589"
"13,395",2016,L'estate addosso,"$1,764,429",,"$1,764,429"
"13,396",2020,The Nest,"$1,762,115","$137,852","$1,624,263"
"13,397",2017,Yol Ayrımı,"$1,761,937",,"$1,761,937"
"13,398",2018,Lazzaro felice,"$1,761,005",,"$1,761,005"
"13,399",2008,Boy A,"$1,760,943","$113,662","$1,647,281"
"13,400",2007,J'Veux Pas Que Tu T'en Ailles,"$1,760,168",,"$1,760,168"
"13,401",2007,Teng Nong Khon Maha-Hia,"$1,759,123",,"$1,759,123"
"13,402",2002,Ararat,"$1,757,694","$1,693,000","$64,694"
"13,403",2021,La scuola cattolica,"$1,757,609",,"$1,757,609"
"13,404",2015,Publieke werken,"$1,755,625",,"$1,755,625"
"13,405",1989,Cookie,"$1,755,480","$1,755,480",
"13,406",2020,Petit pays,"$1,755,449",,"$1,755,449"
"13,407",1993,Carnosaur,"$1,753,979","$1,753,979",
"13,408",2021,Juega Conmigo,"$1,753,877",,"$1,753,877"
"13,409",2019,Sai De Baixo - O Filme,"$1,753,493",,"$1,753,493"
"13,410",1986,Deadtime Stories,"$1,752,982","$1,752,982",
"13,411",2003,Koi… Mil Gaya,"$1,752,408","$680,979","$1,071,429"
"13,412",2015,Back to the Beginning,"$1,752,277",,"$1,752,277"
"13,413",2018,Dao Gao Yi Zhang,"$1,752,067",,"$1,752,067"
"13,414",2016,Weiner,"$1,751,120","$1,675,196","$75,924"
"13,415",2022,Vikram,"$1,750,755",,"$1,750,755"
"13,416",2015,So-syeol-po-bi-a,"$1,750,719",,"$1,750,719"
"13,417",2016,My Mother's Wound,"$1,749,704",,"$1,749,704"
"13,418",1994,Vanya on 42nd Street,"$1,746,000","$1,746,000",
"13,419",2018,Honey,"$1,745,908",,"$1,745,908"
"13,420",2017,Song to Song,"$1,745,819","$443,684","$1,302,135"
"13,421",2019,Gimyohan Gajok,"$1,745,608",,"$1,745,608"
"13,422",2017,Lucknow Central,"$1,745,085",,"$1,745,085"
"13,423",2009,The Messenger,"$1,744,952","$1,109,660","$635,292"
"13,424",2024,Komandir (Командир),"$1,744,729",,"$1,744,729"
"13,425",2001,Carman: The Champion,"$1,743,863","$1,743,863",
"13,426",2020,Come Away,"$1,743,649","$184,477","$1,559,172"
"13,427",2001,The Debut,"$1,743,570","$1,743,570",
"13,428",2017,Bonne pomme,"$1,742,212",,"$1,742,212"
"13,429",2020,Huan Ai,"$1,741,230",,"$1,741,230"
"13,430",2016,Un Paese Quasi Perfetto,"$1,740,803",,"$1,740,803"
"13,431",2016,Qing Wa Zong Dong Yuan,"$1,740,000",,"$1,740,000"
"13,432",2021,One Day When We Were Young,"$1,740,000",,"$1,740,000"
"13,433",2021,Ultimate Code,"$1,740,000",,"$1,740,000"
"13,434",2022,Twin Sister (九妹),"$1,740,000",,"$1,740,000"
"13,435",2018,El habitante,"$1,739,048",,"$1,739,048"
"13,436",1989,The Horror Show,"$1,738,897","$1,738,897",
"13,437",2006,Simon,"$1,738,663","$4,055","$1,734,608"
"13,438",2012,StreetDance 3D,"$1,738,213",,"$1,738,213"
"13,439",2021,Známi neznámi,"$1,738,183",,"$1,738,183"
"13,440",2015,Digimon Adventure Tri. Chapter 1,"$1,738,035",,"$1,738,035"
"13,441",2020,Realnye patsany protiv zombi,"$1,737,647",,"$1,737,647"
"13,442",2021,Joe Bell,"$1,737,406","$1,405,488","$331,918"
"13,443",2018,Sudani From Nigeria,"$1,736,961",,"$1,736,961"
"13,444",2004,Somersault,"$1,736,867","$92,214","$1,644,653"
"13,445",2018,Tiempo después,"$1,736,358",,"$1,736,358"
"13,446",2019,Baantjer het begin,"$1,736,144",,"$1,736,144"
"13,447",2021,Syke: Hätätila,"$1,735,943",,"$1,735,943"
"13,448",2007,Le Deuxième souffle,"$1,735,359",,"$1,735,359"
"13,449",1999,The Dreamlife of Angels,"$1,734,831","$1,734,831",
"13,450",2015,Bølgen,"$1,734,304","$177,404","$1,556,900"
"13,451",2015,Boomerang,"$1,733,471",,"$1,733,471"
"13,452",1988,Little Nikita,"$1,733,070","$1,733,070",
"13,453",1987,The Big Town,"$1,733,017","$1,733,017",
"13,454",2008,Sunday,"$1,732,665",,"$1,732,665"
"13,455",2017,Kardeşim Benim 2,"$1,732,578",,"$1,732,578"
"13,456",2015,De Club van Sinterklaas & De Verdwene…,"$1,732,572",,"$1,732,572"
"13,457",2015,Freeheld,"$1,732,228","$546,201","$1,186,027"
"13,458",2000,Girl on the Bridge,"$1,731,937","$1,713,995","$17,942"
"13,459",2004,Io non ho paura,"$1,731,885","$1,615,118","$116,767"
"13,460",2018,Bizim Köyün Sarkisi,"$1,730,906",,"$1,730,906"
"13,461",1987,The Rosary Murders,"$1,730,337","$1,730,337",
"13,462",2023,Haita de actiune,"$1,729,767",,"$1,729,767"
"13,463",2019,The Moment Of The Sunrises,"$1,729,565",,"$1,729,565"
"13,464",2024,Kardeş takımı,"$1,729,545",,"$1,729,545"
"13,465",2023,Smeshariki snimayut kino (СМЕШАРИКИ С…,"$1,729,523",,"$1,729,523"
"13,466",2015,Tian mi mi,"$1,729,290",,"$1,729,290"
"13,467",2016,Che vuoi che sia,"$1,728,954",,"$1,728,954"
"13,468",2023,Eileen,"$1,728,625","$1,435,007","$293,618"
"13,469",2023,Mutluyuz,"$1,728,436",,"$1,728,436"
"13,470",2016,Dough,"$1,728,152","$1,148,304","$579,848"
"13,471",2017,Final Portrait,"$1,725,841","$460,859","$1,264,982"
"13,472",2018,Re:Zero kara Hajimeru Isekai Seikatsu…,"$1,725,339",,"$1,725,339"
"13,473",2016,Alone in Berlin,"$1,724,705","$33,125","$1,691,580"
"13,474",2014,Tim's Vermeer,"$1,724,484","$1,670,806","$53,678"
"13,475",1992,The Waterdance,"$1,723,319","$1,723,319",
"13,476",2023,Mián Huā Táng Hé Yún Duǒ Mā Mā 1 Bǎo …,"$1,723,306",,"$1,723,306"
"13,477",2007,Mon Fils à Moi,"$1,723,084",,"$1,723,084"
"13,478",2007,Red Road,"$1,722,923","$154,892","$1,568,031"
"13,479",1983,Mortuary,"$1,722,738","$1,722,738",
"13,480",2018,La prière,"$1,722,675",,"$1,722,675"
"13,481",2016,Permitidos,"$1,722,506",,"$1,722,506"
"13,482",2013,Hours,"$1,722,399",,"$1,722,399"
"13,483",2018,Animal,"$1,722,185",,"$1,722,185"
"13,484",1987,Withnail & I,"$1,720,947","$1,544,889","$176,058"
"13,485",2007,Sharkwater,"$1,720,833","$850,920","$869,913"
"13,486",2007,Naraka 19,"$1,720,493",,"$1,720,493"
"13,487",1986,Link,"$1,720,450","$1,720,450",
"13,488",1990,The Forbidden Dance,"$1,719,538","$1,719,538",
"13,489",2016,Pension Complète,"$1,719,064",,"$1,719,064"
"13,490",2016,I.T.,"$1,718,502",,"$1,718,502"
"13,491",2017,Cherchez la femme,"$1,717,333",,"$1,717,333"
"13,492",2005,El abrazo partido,"$1,717,243","$189,836","$1,527,407"
"13,493",2008,Gekijoban Saraba Kamen Raida Den'o Fa…,"$1,716,850",,"$1,716,850"
"13,494",2015,Haikyu! Owari To Hajimari Part 1,"$1,716,660",,"$1,716,660"
"13,495",2016,Bacalaureat,"$1,716,001","$175,975","$1,540,026"
"13,496",2020,Eso que tú me das,"$1,715,805",,"$1,715,805"
"13,497",2011,National Theatre Live: One Man Two Gu…,"$1,714,891",,"$1,714,891"
"13,498",2022,Blueback,"$1,714,711",,"$1,714,711"
"13,499",2022,How to Please a Woman,"$1,714,522",,"$1,714,522"
"13,500",2016,Mine,"$1,714,156",,"$1,714,156"
"13,501",2006,Selon Charlie,"$1,713,311",,"$1,713,311"
"13,502",2015,Entre Abelhas,"$1,712,607",,"$1,712,607"
"13,503",2019,Davay razvedemsya!,"$1,712,078",,"$1,712,078"
"13,504",2006,To Sir With Love,"$1,712,029",,"$1,712,029"
"13,505",1994,Death Wish V: The Face of Death,"$1,711,424","$1,711,424",
"13,506",2021,Chilangolandia,"$1,711,324",,"$1,711,324"
"13,507",2019,National Theatre Live: All About Eve,"$1,710,659",,"$1,710,659"
"13,508",2020,The King of Staten Island,"$1,709,573",,"$1,709,573"
"13,509",2017,Shaadi Mein Zaroor Aana,"$1,709,405",,"$1,709,405"
"13,510",2015,Mang Long Te Jiong,"$1,708,770",,"$1,708,770"
"13,511",2019,Notre Dame,"$1,708,729",,"$1,708,729"
"13,512",1992,Daughters of the Dust,"$1,707,874","$1,701,575","$6,299"
"13,513",2019,The Silence,"$1,706,854",,"$1,706,854"
"13,514",2017,Ni Ruo An Hao,"$1,706,807",,"$1,706,807"
"13,515",2020,Chal Mera Putt 2,"$1,706,685",,"$1,706,685"
"13,516",2006,Sweet Land,"$1,706,325","$1,706,325",
"13,517",2022,De allergrootste slijmfilm,"$1,706,267",,"$1,706,267"
"13,518",2024,Kyllä isä osaa -elokuva,"$1,705,817",,"$1,705,817"
"13,519",2019,Die Drei !!!,"$1,705,811",,"$1,705,811"
"13,520",2024,2 Win,"$1,705,250",,"$1,705,250"
"13,521",2000,What's Cooking,"$1,705,143","$1,045,899","$659,244"
"13,522",1988,Lady in White,"$1,705,139","$1,705,139",
"13,523",2020,Vratar galaktiki,"$1,704,393",,"$1,704,393"
"13,524",2007,Derzkie Dni,"$1,703,910",,"$1,703,910"
"13,525",2000,The Life and Times of Hank Greenberg,"$1,703,901","$1,703,901",
"13,526",2004,The Woodsman,"$1,703,768","$1,566,812","$136,956"
"13,527",2001,Session 9,"$1,703,434","$378,176","$1,325,258"
"13,528",1993,A Home of Our Own,"$1,703,282","$1,703,282",
"13,529",2015,Survivor,"$1,703,281",,"$1,703,281"
"13,530",2022,"Hallelujah: Leonard Cohen, A Journey,…","$1,702,600","$1,062,603","$639,997"
"13,531",2012,2012 Oscar Shorts,"$1,702,415","$1,702,415",
"13,532",2023,Soulmeiteu (소울메이트),"$1,702,138",,"$1,702,138"
"13,533",2016,Distance,"$1,701,658",,"$1,701,658"
"13,534",2015,Meet the Patels,"$1,700,680","$1,700,680",
"13,535",2019,Sem uzhinov,"$1,700,172",,"$1,700,172"
"13,536",1989,Best of the Best,"$1,700,000","$1,700,000",
"13,537",2019,Black Kousoku,"$1,699,916",,"$1,699,916"
"13,538",2002,The Kid Stays in the Picture,"$1,699,809","$1,434,436","$265,373"
"13,539",1993,Boxing Helena,"$1,699,744","$1,699,744",
"13,540",2018,Bécassine!,"$1,698,447",,"$1,698,447"
"13,541",2008,Une vieille maîtresse,"$1,697,774","$785,671","$912,103"
"13,542",2019,Met Opera: Madama Butterfly,"$1,696,923",,"$1,696,923"
"13,543",2005,The Bridge of San Luis Rey,"$1,696,765","$49,981","$1,646,784"
"13,544",2018,Ahlat Agaci,"$1,696,386","$33,326","$1,663,060"
"13,545",2012,Poklosie,"$1,696,330",,"$1,696,330"
"13,546",2005,Saint Ralph,"$1,695,126","$795,126","$900,000"
"13,547",2022,Lapland Odyssey 4,"$1,694,965",,"$1,694,965"
"13,548",2017,Escape Room,"$1,694,165",,"$1,694,165"
"13,549",2021,Qui rido io,"$1,694,059",,"$1,694,059"
"13,550",2019,Le daim,"$1,694,055",,"$1,694,055"
"13,551",2022,Acharya,"$1,693,872","$1,412,000","$281,872"
"13,552",2002,Standing in the Shadows of Motown,"$1,693,676","$1,615,732","$77,944"
"13,553",2008,Go Go 70's,"$1,693,645",,"$1,693,645"
"13,554",2005,El Vacilón: The Movie,"$1,693,256","$1,693,256",
"13,555",1998,Suicide Kings,"$1,692,872","$1,692,872",
"13,556",2003,Ripley's Game,"$1,692,644",,"$1,692,644"
"13,557",2016,De Zevende Hemel,"$1,692,602",,"$1,692,602"
"13,558",2019,Fanxiao,"$1,692,572",,"$1,692,572"
"13,559",2016,Woezel & Pip Op zoek naar de Sloddervos!,"$1,692,423",,"$1,692,423"
"13,560",2015,Ji xing gao zhao,"$1,691,962",,"$1,691,962"
"13,561",2005,State Property 2,"$1,691,706","$1,691,706",
"13,562",2018,Nos batailles,"$1,691,704",,"$1,691,704"
"13,563",2022,The Sky (苍穹),"$1,690,000",,"$1,690,000"
"13,564",2017,San Bian,"$1,689,967",,"$1,689,967"
"13,565",2016,Bobby the Hedgehog,"$1,689,811",,"$1,689,811"
"13,566",2015,Pokemon Za Mûbî XY: Hakai no Mayu to …,"$1,689,083",,"$1,689,083"
"13,567",2020,Obratnaya svyaz,"$1,688,615",,"$1,688,615"
"13,568",2023,Invalid,"$1,688,161",,"$1,688,161"
"13,569",2018,Sokdaksokdak,"$1,687,873",,"$1,687,873"
"13,570",2000,Jesus' Son,"$1,687,548","$1,282,084","$405,464"
"13,571",2017,Slamma Jamma,"$1,687,000","$1,687,000",
"13,572",2011,Texas Killing Fields,"$1,686,991","$45,470","$1,641,521"
"13,573",2017,Trys milijonai eurų,"$1,686,941",,"$1,686,941"
"13,574",1997,Steel,"$1,686,429","$1,686,429",
"13,575",2018,Cliff Richard Live: 60th Anniversary …,"$1,686,021",,"$1,686,021"
"13,576",2014,"Men, Women and Children","$1,685,403","$705,908","$979,495"
"13,577",2022,All The Beauty And The Bloodshed,"$1,684,612","$500,082","$1,184,530"
"13,578",2013,Combustion,"$1,683,711",,"$1,683,711"
"13,579",2023,Syke: Särkynyt sydän,"$1,683,165",,"$1,683,165"
"13,580",2020,Josep,"$1,683,019",,"$1,683,019"
"13,581",2007,Kung Fu Tootsie,"$1,682,173",,"$1,682,173"
"13,582",1996,Race the Sun,"$1,681,685","$1,681,685",
"13,583",2016,Mohenjo Daro,"$1,680,885","$1,264,339","$416,546"
"13,584",1987,Matewan,"$1,680,358","$1,680,358",
"13,585",2021,1950 Ta Men Zheng Nian Qing,"$1,680,000",,"$1,680,000"
"13,586",2014,Shingeki no kyojin: Guren no yumiya,"$1,679,927",,"$1,679,927"
"13,587",2023,Heroico,"$1,678,438",,"$1,678,438"
"13,588",2021,Red Rocket,"$1,678,408","$1,039,866","$638,542"
"13,589",2019,Bentornato presidente,"$1,677,302",,"$1,677,302"
"13,590",2009,Todo incluido,"$1,677,146",,"$1,677,146"
"13,591",1985,Bring on the Night,"$1,675,689","$1,675,689",
"13,592",2016,Equity,"$1,675,474","$1,605,463","$70,011"
"13,593",2013,Nothing Left to Fear,"$1,675,381","$7,886","$1,667,495"
"13,594",2020,Joje,"$1,674,769",,"$1,674,769"
"13,595",2023,National Theatre Live: Good,"$1,674,053",,"$1,674,053"
"13,596",2003,The Legend of Johnny Lingo,"$1,673,997","$1,673,997",
"13,597",2012,Deadfall,"$1,673,635","$66,351","$1,607,284"
"13,598",1987,Prick Up Your Ears,"$1,672,572","$1,654,743","$17,829"
"13,599",2019,Fantastic Fungi,"$1,672,211","$1,573,734","$98,477"
"13,600",2015,Wo De Qing Chun Qi,"$1,671,957",,"$1,671,957"
"13,601",2018,Bez menya,"$1,671,700",,"$1,671,700"
"13,602",2010,Priest,"$1,671,612",,"$1,671,612"
"13,603",2015,Black (2015),"$1,671,070",,"$1,671,070"
"13,604",2017,Walk with me,"$1,670,985","$726,593","$944,392"
"13,605",2020,Watashi ga Motete Dosunda,"$1,669,719",,"$1,669,719"
"13,606",2016,PriPara the Movie: Everyone's Longing…,"$1,668,644",,"$1,668,644"
"13,607",2018,Waka Okami wa Shogakusei!,"$1,667,750","$134,787","$1,532,963"
"13,608",2008,Talento de Barrio,"$1,667,294","$1,667,294",
"13,609",2019,Dem Horizont so nah,"$1,666,847",,"$1,666,847"
"13,610",2022,Vicini di Casa,"$1,666,844",,"$1,666,844"
"13,611",2001,Liam,"$1,665,705","$1,016,021","$649,684"
"13,612",2017,Zombillenium,"$1,665,403",,"$1,665,403"
"13,613",2017,La Mécanique de l'Ombre,"$1,664,796",,"$1,664,796"
"13,614",2011,Breakaway,"$1,664,792","$1,481,735","$183,057"
"13,615",2015,Gekijô rei,"$1,664,755",,"$1,664,755"
"13,616",2017,Ammore e Malavita,"$1,664,524",,"$1,664,524"
"13,617",2014,National Theatre Live: Of Mice and Men,"$1,664,500",,"$1,664,500"
"13,618",2016,USS Indianapolis: Men of Courage,"$1,663,785",,"$1,663,785"
"13,619",2016,Bar Bahar,"$1,663,709","$107,977","$1,555,732"
"13,620",1985,Subway,"$1,663,296","$390,659","$1,272,637"
"13,621",2022,Kaptan Pengu ve Arkadaslari 2,"$1,663,036",,"$1,663,036"
"13,622",2011,Chillar Party,"$1,662,597","$6,330","$1,656,267"
"13,623",2009,Les doigts croches,"$1,662,485","$1,662,485",
"13,624",2023,Huesera,"$1,662,159",,"$1,662,159"
"13,625",2015,Loro chi?,"$1,662,083",,"$1,662,083"
"13,626",2007,Factory Girl,"$1,661,464","$1,661,464",
"13,627",2003,"The Book of Mormon Movie, Volume 1: T…","$1,660,865","$1,660,865",
"13,628",2018,Destination Wedding,"$1,660,230",,"$1,660,230"
"13,629",2021,The Red Boat,"$1,660,000",,"$1,660,000"
"13,630",1992,Out on a Limb,"$1,659,542","$1,659,542",
"13,631",2023,Les trois mousquetaires: Milady,"$1,659,393",,"$1,659,393"
"13,632",2022,Benden Ne Olur,"$1,659,335",,"$1,659,335"
"13,633",2008,More Than Blue,"$1,659,016",,"$1,659,016"
"13,634",2017,The Comedian,"$1,658,706","$1,658,706",
"13,635",2015,Francisco: El Padre Jorge,"$1,658,339",,"$1,658,339"
"13,636",2017,Rammstein: Paris,"$1,658,090",,"$1,658,090"
"13,637",2021,June Again,"$1,657,143",,"$1,657,143"
"13,638",2016,L'Économie du Couple,"$1,656,346","$13,621","$1,642,725"
"13,639",2019,Gui Xiang Jie,"$1,655,606",,"$1,655,606"
"13,640",2017,Eoneunal,"$1,655,385",,"$1,655,385"
"13,641",2022,Retour à Séoul,"$1,655,152","$798,774","$856,378"
"13,642",2022,The Cellar,"$1,654,713",,"$1,654,713"
"13,643",2023,Aslan Hürkus 3: Anka Adasi,"$1,653,952",,"$1,653,952"
"13,644",2017,Gulu Mermaid 2,"$1,653,264",,"$1,653,264"
"13,645",2023,Mastaney,"$1,650,413",,"$1,650,413"
"13,646",2016,Crying Out in Love,"$1,650,000",,"$1,650,000"
"13,647",2015,Bie You Dong Ji,"$1,650,000",,"$1,650,000"
"13,648",1994,Even Cowgirls Get the Blues,"$1,649,796","$1,649,796",
"13,649",2017,Los que aman odian,"$1,649,538",,"$1,649,538"
"13,650",1998,Festen,"$1,649,337","$1,647,780","$1,557"
"13,651",2022,Jenteulmaen (젠틀맨),"$1,648,877",,"$1,648,877"
"13,652",2015,The Letters,"$1,647,416","$1,647,416",
"13,653",2017,The Little Hours,"$1,647,175","$1,647,175",
"13,654",2003,Marci X,"$1,646,664","$1,646,664",
"13,655",2019,Chanson douce,"$1,646,428",,"$1,646,428"
"13,656",2018,Everybodys Talking About Jamie,"$1,645,545",,"$1,645,545"
"13,657",2017,Happy Burnout,"$1,645,234",,"$1,645,234"
"13,658",2017,Le manoir,"$1,644,818",,"$1,644,818"
"13,659",2022,Teddybjørnens jul,"$1,644,228","$38,953","$1,605,275"
"13,660",1999,Astérix et Obélix contre César,"$1,644,060","$1,644,060",
"13,661",1983,Nate and Hayes,"$1,643,022","$1,643,022",
"13,662",2010,It's a Wonderful Afterlife,"$1,642,939",,"$1,642,939"
"13,663",2021,Meskina,"$1,642,709",,"$1,642,709"
"13,664",2003,Spider,"$1,641,788","$1,641,788",
"13,665",2018,Čertí brko,"$1,641,333",,"$1,641,333"
"13,666",2020,Saint Maud,"$1,640,824",,"$1,640,824"
"13,667",2017,Shanghai Wang,"$1,640,000",,"$1,640,000"
"13,668",2019,J’ai perdu mon corps,"$1,639,538",,"$1,639,538"
"13,669",1984,Body Rock,"$1,639,127","$1,639,127",
"13,670",2023,The Inseparables,"$1,639,079",,"$1,639,079"
"13,671",2019,Variações,"$1,638,893",,"$1,638,893"
"13,672",2012,Midnight's Children,"$1,638,655","$849,045","$789,610"
"13,673",2000,Gun Shy,"$1,638,202","$1,638,202",
"13,674",2017,Zhong Guo Tui Xiao Yuan,"$1,637,776",,"$1,637,776"
"13,675",2007,Actrices,"$1,637,310",,"$1,637,310"
"13,676",2017,Klasės susitikimas: berniukai sugrįžt…,"$1,636,978",,"$1,636,978"
"13,677",2019,Polaroid,"$1,636,516",,"$1,636,516"
"13,678",2017,Royal Opera House: The Nutcracker,"$1,635,459",,"$1,635,459"
"13,679",2009,Flammen og Citronen,"$1,635,241","$148,089","$1,487,152"
"13,680",2010,Hermano,"$1,635,184","$29,864","$1,605,320"
"13,681",2017,Únos,"$1,633,205",,"$1,633,205"
"13,682",2023,Consecration,"$1,633,139","$538,551","$1,094,588"
